DateTime,Entries,UniqueIPs
1518596407,27784,44964
1518596888,27842,45025
1518597830,27788,44968
1518598339,27790,44970
1518599753,27768,44949
1518600260,27778,44959
1518601508,27717,44893
1518602176,27721,44900
1518602184,27670,44849
1518603016,27771,44953
1518604177,27893,45082
1518604806,27815,45006
1518606031,27924,45121
1518606956,27848,45045
1518607950,27958,45162
1518608528,27796,44992
1518609879,26607,43773
1518610207,26722,43891
1518611440,26696,43868
1518612018,26670,43841
1518612308,26696,43865
1518614030,27296,44482
1518614143,27356,44541
1518615873,27292,44483
1518618036,27404,44603
1518619939,27377,44571
1518620176,27500,44699
1518621007,27428,44631
1518621864,27424,44628
1518622045,27558,44764
1518624038,27497,44703
1518624608,27540,44739
1518626194,27543,44744
1518626545,27547,42970
1518628114,27554,42980
1518628542,27618,43042
1518628807,27773,43201
1518630021,27465,42891
1518630907,27576,43006
1518631956,26978,42389
1518632144,26979,42135
1518633029,26908,42065
1518633857,26909,42069
1518633908,26887,42042
1518634822,26889,41789
1518635800,26854,41748
1518637010,26854,42513
1518637964,26959,42621
1518638407,26936,42592
1518639326,27049,42963
1518639876,27061,42972
1518640220,27167,43081
1518640927,27034,42947
1518641771,27016,42927
1518642930,27062,42978
1518643949,27051,42970
1518644708,27131,43043
1518645865,27255,43170
1518646533,27377,43543
1518647782,27550,43715
1518649365,27581,43755
1518649951,27619,43797
1518650407,27737,43923
1518651364,27572,43749
1518651868,27544,43721
1518652916,27618,43801
1518653799,27584,43768
1518654008,27686,43874
1518655714,27548,43987
1518657863,28098,44552
1518658088,28231,44686
1518659107,28073,44524
1518660039,28152,44606
1518660940,28096,44543
1518662191,28082,44529
1518662735,28085,44524
1518664125,28126,44568
1518664533,28121,44565
1518666269,28122,44565
1518666336,28028,44468
1518668201,28115,44559
1518669012,28244,44696
1518670362,28236,44689
1518671107,28074,44523
1518672270,28192,44648
1518673327,28070,44520
1518674439,28342,44805
1518675339,28462,44930
1518676350,28592,45068
1518677137,28583,45313
1518677767,28689,45423
1518678512,28805,45548
1518678942,28778,45522
1518680428,28873,45624
1518680708,28869,45614
1518682354,28999,45748
1518682542,29111,45866
1518683106,29214,45980
1518684262,29140,45904
1518684966,29249,46019
1518686195,29168,45938
1518687013,29270,46042
1518688112,29176,45950
1518688508,29257,46036
1518689742,29159,45937
1518690264,29160,45939
1518691329,29100,45881
1518692188,29101,45879
1518692468,29075,45853
1518693307,29166,45946
1518694095,29159,45939
1518695107,29032,45801
1518696041,27710,44433
1518696946,27760,44493
1518697688,27860,44595
1518698182,27862,44600
1518698718,27685,44427
1518700112,28046,44804
1518702038,27964,44721
1518702813,28075,44836
1518703945,28066,44827
1518705860,28063,44826
1518706414,28144,44909
1518707816,28069,44832
1518708621,27801,44566
1518709704,27799,44561
1518711686,27844,44602
1518712295,27729,44485
1518713139,27742,44501
1518713542,27915,44681
1518714504,27919,44690
1518715684,28060,44838
1518716407,28064,44847
1518717865,28375,45173
1518719121,28353,45148
1518720026,28463,45269
1518720308,28291,45088
1518720906,28361,45162
1518722183,28419,43698
1518724588,28459,45274
1518724870,28353,45159
1518725721,28453,45262
1518726490,28465,45273
1518726654,28558,45114
1518728437,28240,44785
1518729323,28352,44898
1518730339,28224,44766
1518731107,28225,44769
1518732512,28223,44773
1518733810,28363,44918
1518734410,28360,44915
1518734762,28142,44689
1518735781,28116,44658
1518736845,28235,44780
1518737838,28294,44839
1518738737,28305,44849
1518739172,28097,44627
1518740131,28183,44715
1518740907,28184,44717
1518741026,28101,44628
1518741486,28102,44884
1518741907,28206,44990
1518742829,29227,46030
1518743734,29171,45966
1518744757,29174,45972
1518746665,29172,45970
1518747007,29141,45939
1518748586,29145,45943
1518749108,29115,45911
1518749446,29209,46007
1518750507,29100,45895
1518750938,29100,46150
1518752136,29027,46075
1518752673,29157,46210
1518752739,29191,46244
1518754587,29370,46432
1518756506,29486,46552
1518758131,29397,46465
1518758655,29506,46575
1518759010,29603,46675
1518759928,29412,46477
1518760572,29510,46579
1518761056,29481,46547
1518761709,29540,46609
1518762494,29659,46732
1518762625,29506,46573
1518763540,29505,46319
1518764431,29545,46367
1518765328,29544,46367
1518766394,29594,46417
1518767131,29495,46308
1518768909,29494,46305
1518770188,29501,46310
1518770707,29427,46223
1518771536,29372,46163
1518772124,29368,46159
1518772539,29437,46230
1518774025,29522,46315
1518774467,29414,46200
1518775445,29535,46325
1518775950,29627,46418
1518776407,30121,46928
1518777300,30030,46827
1518777859,30144,46944
1518778965,30081,46874
1518780289,30279,47087
1518781207,30187,46991
1518782176,30283,47089
1518783339,30216,47020
1518784139,29096,45863
1518784928,28897,45648
1518786042,29532,46289
1518786940,29609,46368
1518788189,29463,46219
1518788707,29472,46224
1518790351,29444,46200
1518790544,29437,46191
1518792502,29321,46078
1518792607,29404,46163
1518793706,29227,45981
1518794669,29182,45937
1518796839,28731,45470
1518797156,28545,45272
1518798007,28627,45358
1518798741,28768,45501
1518799328,28513,45238
1518800678,28673,45398
1518801006,28590,45312
1518801845,28670,45394
1518802592,28676,46677
1518802806,28501,46498
1518803670,28565,46562
1518804752,28557,46558
1518806668,28516,46516
1518806708,28518,46262
1518808583,28528,46272
1518809676,28243,45980
1518810753,28277,44740
1518811217,28082,44542
1518812130,28143,44859
1518812661,28145,44861
1518813908,27936,44648
1518814632,28040,44753
1518815012,27925,44636
1518816007,27984,44695
1518816772,27999,44709
1518817206,27753,44458
1518817508,27746,44703
1518818669,27750,44707
1518819309,27711,44405
1518820597,27589,44284
1518821128,27614,44309
1518822752,27607,44302
1518822932,27513,44202
1518823810,27605,44040
1518824849,27564,44000
1518825622,27353,43777
1518826218,27343,43769
1518826822,27308,43735
1518827425,27178,43604
1518827879,27177,44112
1518828746,27201,44137
1518830138,27117,44052
1518830655,27767,44709
1518831010,27812,44755
1518831918,27563,44755
1518832583,27535,44727
1518834750,27265,44456
1518835532,27309,44500
1518836680,27266,44458
1518837331,27098,44283
1518838210,27169,44356
1518838825,27258,44450
1518839135,26990,44175
1518839962,26914,44089
1518840762,27019,44197
1518840939,27071,44249
1518842665,27213,44392
1518842735,27136,44313
1518844596,27123,44299
1518845473,27195,44371
1518846512,27095,44274
1518848431,27176,44354
1518848887,27219,44398
1518850346,27239,44417
1518851734,27117,44287
1518852271,26999,44162
1518852610,27086,44252
1518853534,26863,44024
1518854190,26872,44033
1518854274,26768,43924
1518855337,26831,43988
1518856109,26841,43999
1518856210,26893,44051
1518858030,26847,44006
1518858333,26766,43924
1518859173,26842,44002
1518859955,26969,44129
1518860407,26847,44005
1518861871,26927,44089
1518862533,26800,43959
1518862726,26873,44032
1518863784,27007,44169
1518864907,26937,43841
1518865948,27019,43915
1518867872,26982,43876
1518868857,26921,43808
1518869793,24972,41795
1518870487,25030,41853
1518871326,24806,41626
1518871944,24844,41664
1518873336,24776,41594
1518874106,25906,42756
1518874927,25843,42694
1518876263,25871,42722
1518877810,25804,42654
1518878433,25815,42664
1518878913,25799,42645
1518880348,25794,42641
1518882525,25410,42243
1518884136,25438,42270
1518884417,25451,42283
1518884612,25513,42347
1518885606,25318,42913
1518886354,25425,43024
1518886445,25513,43114
1518887726,25482,43082
1518888256,25584,43187
1518888610,25685,42274
1518889544,25537,42123
1518890445,25707,42298
1518891322,25780,42629
1518892343,25956,42811
1518893022,25865,42717
1518894518,25976,42834
1518894923,26006,42868
1518896414,25994,42852
1518896708,25907,42765
1518897367,26019,42882
1518898354,26038,42389
1518899287,26130,42485
1518900256,26142,42497
1518900334,25982,42335
1518902197,26050,42407
1518903023,25995,42347
1518904111,26091,42190
1518906275,26088,42182
1518906613,26211,42312
1518906985,26211,42567
1518908184,26206,42562
1518908421,26147,42510
1518909337,26143,42513
1518910924,26170,42546
1518911108,26031,42408
1518912750,25971,42348
1518913207,26129,42515
1518914663,26134,42521
1518914733,26104,42751
1518916591,27089,43760
1518917752,27015,43685
1518918747,27025,43697
1518918984,27025,43696
1518919808,27137,43815
1518920651,27146,43825
1518920707,27274,43958
1518921728,27153,43836
1518922827,27165,43850
1518923735,27287,43975
1518924744,27415,44109
1518925207,27357,44052
1518926013,27471,44170
1518926916,27605,44307
1518927329,27692,44399
1518928822,27807,44515
1518929129,27772,44472
1518929407,27847,44550
1518930750,27972,44680
1518931686,28101,44814
1518932655,28529,45247
1518934590,28673,45401
1518935592,28636,45359
1518936748,28629,45349
1518937808,28690,45424
1518938651,28629,45363
1518938891,28750,45485
1518940820,28575,45306
1518942742,28607,45343
1518943537,28645,45386
1518944671,28529,45259
1518945345,28625,45358
1518946823,28729,45464
1518948024,28271,45004
1518948739,28376,45112
1518949718,28520,45257
1518950664,28633,45375
1518951571,28521,45261
1518952594,28722,45463
1518953471,28696,45438
1518954505,28811,45558
1518955008,28819,45567
1518955807,28880,45631
1518956452,26639,43329
1518957115,26660,43353
1518957350,26664,43354
1518958337,26624,43311
1518959709,26739,43433
1518960497,28281,45012
1518960607,28245,44975
1518961507,28276,45006
1518962418,28257,44987
1518963341,28329,45067
1518964586,28328,45067
1518964928,28342,45084
1518965733,28421,45164
1518966510,28429,45173
1518966934,28453,45198
1518968416,28462,45205
1518968708,28243,44979
1518970354,28269,45002
1518970537,28274,43476
1518971409,28270,45258
