DateTime,Entries,UniqueIPs
1518460921,5519,5690
1518465722,5523,5694
1518466322,5522,5692
1518468121,5522,5691
1518469921,5513,5682
1518471121,5522,5691
1518471721,5524,5693
1518472322,5525,5694
1518472921,5525,5694
1518474122,5522,5691
1518475321,5517,5686
1518476521,5518,5687
1518477722,5516,5685
1518479521,5512,5681
1518480122,5511,5680
1518481321,5525,5694
1518482522,5524,5693
1518483722,5528,5699
1518484922,5529,5700
1518485522,5530,5701
1518486121,5528,5699
1518487322,5529,5700
1518488522,5551,5722
1518489722,5550,5721
1518490921,5547,5718
1518494522,5544,5715
1518495722,5536,5707
1518496321,5541,5712
1518496922,5543,5714
1518498121,5540,5710
1518498723,5536,5706
1518499921,5536,5705
1518502921,5535,5704
1518503521,5534,5703
1518504122,5533,5702
1518505321,5534,5703
1518506522,5531,5700
1518507721,5529,5698
1518508921,5540,5709
1518510122,5541,5710
1518511322,5542,5711
1518513721,5541,5710
1518514321,5542,5711
1518516122,5535,5704
1518518521,5534,5703
1518519121,5533,5702
1518520922,5526,5695
1518523321,5529,5698
1518524521,5530,5699
1518526321,5529,5698
1518526922,5532,5701
1518528122,5528,5697
1518529321,5531,5700
1518530522,5530,5699
1518531121,5531,5700
1518531722,5529,5698
1518532922,5528,5697
1518534721,5527,5696
1518535322,5529,5698
1518536522,5524,5693
1518537721,5523,5692
1518538322,5522,5691
1518539522,5523,5692
1518541922,5518,5686
1518542521,5517,5685
1518544321,5513,5681
1518545522,5516,5684
1518546121,5515,5683
1518547322,5514,5682
1518548522,5513,5681
1518549121,5513,5680
1518549721,5509,5675
1518552123,5512,5678
1518552722,5511,5677
1518553321,5511,5678
1518555721,5509,5675
1518556921,5505,5671
1518559321,5506,5672
1518559921,5504,5670
1518561121,5502,5668
1518562921,5496,5662
1518565321,5494,5660
1518566522,5494,5660
1518568322,5488,5654
1518569522,5491,5657
1518571322,5492,5658
1518571921,5488,5654
1518573121,5482,5647
1518574921,5495,5660
1518575522,5495,5660
1518579721,5502,5667
1518580321,5500,5665
1518582121,5498,5663
1518583322,5494,5658
1518585122,5492,5656
1518585722,5490,5653
1518587522,5501,5664
1518588121,5500,5662
1518589322,5498,5660
1518591722,5496,5658
1518593521,5495,5657
1518594721,5495,5657
1518596521,5492,5654
1518597121,5493,5655
1518597722,5494,5656
1518598321,5495,5657
1518598922,5493,5654
1518599521,5492,5653
1518600121,5493,5654
1518600722,5496,5657
1518602522,5492,5653
1518603721,5491,5651
1518605522,5489,5649
1518608521,5489,5649
1518609121,5488,5648
1518609722,5498,5658
1518610322,5499,5659
1518610921,5500,5660
1518612122,5499,5659
1518612721,5499,5658
1518614522,5495,5654
1518615121,5496,5655
1518615721,5495,5653
1518616921,5494,5652
1518618122,5495,5653
1518619322,5507,5665
1518620522,5506,5664
1518621721,5505,5663
1518625921,5500,5658
1518626521,5501,5659
1518627721,5499,5657
1518628921,5500,5658
1518630121,5499,5657
1518631922,5495,5653
1518632521,5497,5655
1518633122,5495,5653
1518635522,5494,5652
1518636121,5491,5649
1518636721,5492,5650
1518638522,5492,5648
1518639121,5494,5650
1518639722,5495,5651
1518640322,5493,5649
1518640922,5490,5645
1518642121,5487,5642
1518642721,5486,5641
1518644521,5476,5631
1518645721,5477,5632
1518646921,5479,5634
1518647522,5479,5634
1518650521,5474,5629
1518651121,5470,5625
1518652322,5466,5621
1518652922,5470,5625
1518654121,5469,5624
1518655321,5468,5623
1518655923,5469,5624
1518656522,5465,5618
1518657721,5463,5616
1518658322,5464,5617
1518659521,5463,5616
1518661321,5460,5613
1518661921,5461,5614
1518663722,5460,5613
1518664322,5461,5614
1518664921,5462,5615
1518665522,5464,5617
1518666121,5466,5619
1518667922,5465,5618
1518669122,5465,5618
1518669722,5467,5620
1518670922,5472,5625
1518671521,5473,5626
1518672121,5474,5627
1518673321,5474,5627
1518675122,5472,5625
1518676321,5466,5618
1518677522,5465,5617
1518678122,5464,5616
1518678721,5472,5624
1518679321,5473,5625
1518681121,5474,5626
1518681721,5475,5627
1518682921,5474,5626
1518684121,5475,5627
1518685321,5472,5623
