DateTime,Entries,UniqueIPs
1518703951,33193,35482
1518704230,33269,35559
1518704896,33182,35442
1518705864,33272,35541
1518706819,33227,35489
1518707820,33229,35484
1518707831,33276,35532
1518708742,33322,35589
1518709708,33317,35560
1518710665,33274,35501
1518711690,33472,35706
1518712830,33493,35731
1518713541,33493,35731
1518713770,33489,35726
1518714744,33486,35742
1518715030,33543,35807
1518715697,33526,35781
1518716794,33546,35798
1518717878,33555,35807
1518719339,33546,35773
1518720025,33543,35770
1518720765,33538,35754
1518721231,33549,35766
1518721718,33421,35600
1518722182,33422,35600
1518722231,33464,35644
1518722652,33664,35881
1518723637,33670,35872
1518724602,33683,35886
1518725544,33796,36016
1518725830,33837,36062
1518726494,33822,36060
1518727475,33828,36057
1518728451,33906,36142
1518728897,33947,36186
1518729401,34109,36306
1518729430,34159,36356
1518730344,34716,36890
1518731301,35076,37231
1518732526,33937,36116
1518732978,33973,36157
1518733475,34073,36282
1518734415,34018,36215
1518735384,34197,36414
1518736860,34187,36389
1518737777,34333,36548
1518738741,34383,36599
1518739709,34484,36720
1518740231,32802,34985
1518740912,32820,35049
1518741858,32729,34954
1518742833,32702,34911
1518743782,32736,34948
1518743831,32764,34978
1518744763,32466,34629
1518745698,32497,34670
1518746669,32379,34535
1518747620,32267,34406
1518748589,32142,34265
1518749535,32331,34443
1518750506,32512,34657
1518751459,32499,34678
1518752677,32649,34871
1518752830,32748,34972
1518753619,32716,34940
1518754591,32698,34943
1518755801,32672,34910
1518756505,32711,34950
1518756737,32646,34880
1518757706,32613,34864
1518758661,32568,34816
1518759615,32455,34686
1518760031,32523,34757
1518760576,32536,34780
1518761537,32536,34794
1518762498,32533,34792
1518763730,32571,34864
1518764430,32568,34861
1518764905,32532,34817
1518765857,32578,34869
1518766393,32581,34872
1518766817,32550,34838
1518767231,32597,34885
1518767780,32566,34850
1518768275,32569,34854
1518768741,32533,34817
1518769691,32486,34768
1518770187,32485,34767
1518770656,32511,34803
1518770830,32578,34874
1518771624,32586,34884
1518772123,32586,34884
1518772585,32515,34805
1518773537,32529,34837
1518774023,32530,34838
1518774503,32566,34869
1518775467,32495,34793
1518775949,32497,34795
1518776420,32485,34785
1518777397,32513,34820
1518777858,32512,34819
1518778341,32616,34936
1518779546,32624,34936
1518780288,32624,34936
1518780740,32624,34935
1518781693,32619,34949
1518782175,32658,34990
1518782754,32616,34951
1518784158,32491,34812
1518785296,32465,34785
1518786041,32525,34851
1518786545,32498,34829
1518787727,32553,34891
1518788188,32550,34888
1518788764,32535,34875
1518788831,32662,35009
1518789943,32702,35055
1518790350,32699,35052
1518791061,32782,35142
1518791567,32778,35138
1518792029,32841,35205
1518792543,32890,35253
1518793033,33078,35483
1518793482,33075,35480
1518793964,32997,35391
1518794698,33001,35395
1518795138,32836,35202
1518795652,32835,35201
1518796892,32696,35002
1518798290,32375,34631
1518799247,32268,34515
1518799630,32317,34565
1518800228,32189,34417
1518801145,32071,34285
1518802160,31941,34142
1518802591,31937,34138
1518803231,31979,34180
1518804302,31618,33775
1518804751,31642,33801
1518805263,31649,33808
1518806227,31447,33589
1518806667,31450,33592
1518807386,31426,33557
1518808352,31214,33319
1518808582,31216,33321
1518809356,31050,33128
1518810292,30919,32979
1518810751,31034,33096
1518811580,30804,32838
1518812213,30799,32833
1518812664,30668,32676
1518813613,30489,32476
1518814126,30487,32474
1518814644,30509,32481
1518815325,30507,32479
1518815800,30233,32160
1518816292,30234,32161
1518816774,29902,31787
1518817233,29900,31785
1518817720,28318,30149
1518818197,28376,30208
1518818708,28382,30214
1518819177,28379,30211
1518819644,28168,29954
1518820599,27976,29717
1518821070,27974,29715
1518821545,27883,29604
1518822291,27880,29601
1518822786,27549,29225
1518823486,27549,29225
1518824228,27138,28769
1518824866,27142,28774
1518825414,27045,28668
1518825879,27044,28667
1518826350,26796,28390
1518826859,26790,28384
1518827330,26608,28168
1518827825,26599,28158
1518828275,26523,28070
1518828780,24671,26154
1518829231,24684,26169
1518829748,24677,26162
1518830239,24601,26064
1518830678,24600,26063
1518831161,24642,26114
1518831647,24639,26111
1518832109,24820,26284
1518832596,24815,26279
1518833071,24787,26239
1518833808,24779,26231
1518834309,24751,26198
1518834764,24750,26197
1518835249,24726,26169
1518835728,24849,26294
1518836173,24352,25746
1518836692,24348,25741
1518837172,23787,25100
1518837883,23781,25094
1518838348,23073,24330
1518838824,23075,24332
1518839346,23009,24254
1518839807,23006,24251
1518840261,22856,24075
1518840774,22853,24072
1518841221,22610,23796
1518841714,22606,23792
1518842186,22621,23807
1518842664,22621,23807
1518843154,22177,23321
1518843635,22166,23310
1518844111,21936,23059
1518844608,21976,23099
1518845056,23008,24175
1518845557,23055,24222
1518846012,23151,24301
1518846524,23217,24368
